species,longitude,latitude
Carcharhinus,151.23,-33.86
Carcharhinus,151.22,-33.85
Carcharhinus,151.23,-33.86
Carcharhinus,151.25,-33.85
Carcharhinus,151.23,-33.86
Carcharhinus,151.22,-33.86
Carcharhinus,151.28,-33.83
Carcharhinus,151.27,-33.83
Carcharhinus,151.27,-33.94
Carcharhinus,152.03,-23.42
Carcharhinus,151.28,-33.83
Carcharhinus,151.26,-33.85
Carcharhinus,151.23,-33.86
Carcharhinus,151.26,-33.92
Carcharhinus,151.09,-34
Carcharhinus,151.22,-33.85
Carcharhinus,151.98,-23.44
Carcharhinus,151.29,-33.83
Carcharhinus,151.27,-33.91
Carcharhinus,151.05,-33.99
Carcharhinus,151.26,-33.85
Carcharhinus,151.15,-34
Carcharhinus,151.26,-33.92
Carcharhinus,151.09,-34
Carcharhinus,151.22,-33.86
Carcharhinus,151.22,-33.86
Carcharhinus,151.27,-33.84
Carcharhinus,151.23,-33.86
Carcharhinus,151.26,-33.86
Carcharhinus,151.29,-33.83
Carcharhinus,151.26,-33.84
Carcharhinus,151.26,-33.84
Carcharhinus,151.27,-33.94
Carcharhinus,151.23,-33.87
Carcharhinus,151.22,-33.86
Carcharhinus,151.26,-33.82
Carcharhinus,151.23,-33.86
Carcharhinus,151.29,-33.84
Carcharhinus,151.25,-33.86
Carcharhinus,151.17,-33.85
Carcharhinus,151.27,-33.92
Carcharhinus,151.25,-33.85
Carcharhinus,151.14,-34.01
Carcharhinus,151.23,-33.86
Carcharhinus,151.2,-33.86
Carcharhinus,151.12,-33.84
Carcharhinus,151.25,-33.86
Carcharhinus,151.26,-33.82
Carcharhinus,151.27,-33.83
Carcharhinus,151.22,-33.86
Carcharhinus,151.17,-34.08
Carcharhinus,151.28,-33.83
Carcharhinus,151.08,-34
Carcharhinus,151.25,-33.86
Carcharhinus,151.15,-34
Carcharhinus,151.19,-33.84
Carcharhinus,151.27,-33.84
Carcharhinus,151.26,-33.85
Carcharhinus,151.22,-33.86
Carcharhinus,152.3,-32.61
Carcharhinus,151.19,-33.84
Carcharhinus,151.24,-33.86
Carcharhinus,151.25,-33.85
Carcharhinus,151.23,-33.86
Carcharhinus,151.27,-33.84
Carcharhinus,151.25,-33.86
Carcharhinus,151.23,-33.86
Carcharhinus,151.17,-33.95
Carcharhinus,151.16,-33.85
Carcharhinus,151.15,-34
Carcharhinus,151.19,-33.84
Carcharhinus,152.27,-32.61
Carcharhinus,151.08,-34
Carcharhinus,151.23,-33.87
Carcharhinus,151.22,-33.85
Carcharhinus,151.24,-33.86
Carcharhinus,151.15,-34
Carcharhinus,151.29,-33.84
Carcharhinus,151.25,-33.85
Carcharhinus,151.25,-33.86
Carcharhinus,151.17,-33.85
Carcharhinus,151.28,-33.83
Carcharhinus,151.1,-34
Carcharhinus,151.22,-33.86
